,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
116,116,محل للإيجار في شارع محمد هلال سنبل ، حي بدر ، الرياض ، الرياض,"35,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-محمد-هلال-سنبل-حي-بدر-الرياض-الرياض-3412833,جنوب غربي,35 م, 2 سنة
117,117,محل للإيجار في حي طيبة ، الرياض ، الرياض,"55,000 ريال",90 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-طيبة/حي-طيبة-الرياض-الرياض-3561834,شمال شرقي,60 م,جديد
118,118,محل للإيجار في شارع هارون الرشيد الفرعي ، حي السلي ، الرياض ، الرياض,"15,000 ريال",35 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/شارع-هارون-الرشيد-الفرعي-حي-السلي-الرياض-الرياض-2724042,غرب,60 م, 11 سنة
119,119,محل للإيجار في شارع محمد هلال سنبل ، حي بدر ، الرياض ، الرياض,"35,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-محمد-هلال-سنبل-حي-بدر-الرياض-الرياض-3406236,جنوب غربي,35 م, 2 سنة
120,120,محل للإيجار في حي العزيزية ، الرياض,"40,000 ريال",50 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/حي-العزيزية-الرياض-1837648,شرق,,
121,121,محل للإيجار في شارع محمد بن المهتدي ، حي السلي ، الرياض ، الرياض,"15,000 ريال",54 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/شارع-محمد-بن-المهتدي-حي-السلي-الرياض-الرياض-3376350,جنوب,20 م, 9 سنة
122,122,محل للإيجار في طريق الخرج ، حي المدينة الصناعية الجديدة ، الرياض ، الرياض,"120,000 ريال",125 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المدينة-الصناعية-الجديدة/طريق-الخرج-حي-المدينة-الصناعية-الجديدة-الرياض-الرياض-3561762,غرب,,
123,123,محل للإيجار في طريق الخرج ، حي طيبة ، الرياض ، الرياض,"25,300 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-طيبة/طريق-الخرج-حي-طيبة-الرياض-الرياض-3317302,شمال,,
124,124,محل للإيجار في شارع الامام مسلم ، حي المروة ، الرياض ، الرياض,"75,000 ريال",300 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المروة/شارع-الامام-مسلم-حي-المروة-الرياض-الرياض-3496650,3 شوارع,,
125,125,محل للإيجار في شارع محمد رشيد رضا ، حي الدار البيضاء ، الرياض ، الرياض,"30,000 ريال",104 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-محمد-رشيد-رضا-حي-الدار-البيضاء-الرياض-الرياض-2893057,شرق,,
126,126,"محل للإيجار في شارع اسطنبول, السلي, الرياض","45,000 ريال",120 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/شارع-اسطنبول-السلي-الرياض-835342,شرق,60 م,جديد
