,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
68,68,محل للإيجار في حي ، شارع عوف بن عفراء ، حي ظهرة نمار ، الرياض ، الرياض,"60,000 ريال",65 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-نمار/حي-شارع-عوف-بن-عفراء-حي-ظهرة-نمار-الرياض-الرياض-3595355,3 شوارع,,
69,69,محل للإيجار في حي ظهرة لبن ، الرياض ، الرياض,"40,000 ريال",900 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/حي-ظهرة-لبن-الرياض-الرياض-2535145,شمال غربي,35 م,جديد
70,70,محل للإيجار في شارع المطري ، حي الحزم ، الرياض ، الرياض,"50,000 ريال",100 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الحزم/شارع-المطري-حي-الحزم-الرياض-الرياض-3691364,شمال,,
71,71,محل للإيجار في شارع عسير ، حي ظهرة لبن ، الرياض ، الرياض,"34,000 ريال",48 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-عسير-حي-ظهرة-لبن-الرياض-الرياض-3611897,شمال,40 م, 8 سنة
72,72,محل للإيجار في الرياض ، حي طويق ، الرياض,"16,500 ريال",44 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/الرياض-حي-طويق-الرياض-3180900,جنوب غربي,45 م, 10 سنة
73,73,محل للإيجار في حي طويق ، الرياض ، الرياض,"120,000 ريال",819 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/حي-طويق-الرياض-الرياض-2707954,شرق,30 م, 5 سنة
74,74,محل للإيجار في شارع الشيخ عمر بن عبداللطيف بن عبدالرحمن ، حي ظهرة البديعة ، الرياض ، الرياض,"50,000 ريال",50 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-البديعة/شارع-الشيخ-عمر-بن-عبداللطيف-بن-عبدالرحمن-حي-ظهرة-البديعة-الرياض-الرياض-3562569,غرب,36 م, 7 سنة
75,75,محل للإيجار في شارع السويدي العام ، حي سلطانة ، الرياض ، الرياض,"200,000 ريال",240 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-سلطانة/شارع-السويدي-العام-حي-سلطانة-الرياض-الرياض-3532652,3 شوارع,,
76,76,محل للإيجار في شارع القواعد ، حي الحزم ، الرياض ، الرياض,"14,000 ريال",42 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الحزم/شارع-القواعد-حي-الحزم-الرياض-الرياض-3045596,جنوب,30 م, 6 سنة
77,77,محل للإيجار في حي ، شارع أحمد بن هاشم ، حي المهدية ، الرياض ، الرياض,"100,000 ريال",200 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-المهدية/حي-شارع-أحمد-بن-هاشم-حي-المهدية-الرياض-الرياض-3654067,غرب,35 م, 3 سنة
