,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
331,331,محل للإيجار في شارع سعيد الحاجب ، حي الرمال ، الرياض ، الرياض,"50,000 ريال",16 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الرمال/شارع-سعيد-الحاجب-حي-الرمال-الرياض-الرياض-3463527,شرق,30 م,جديد
332,332,محل للإيجار في الرياض ، حي الندوة ، الرياض,"2,000 ريال",48 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النظيم/الرياض-حي-الندوة-الرياض-3661307,شرق,40 م, 6 سنة
333,333,محل للإيجار في شارع الجبيل ، حي الخليج ، الرياض ، الرياض,"16,000 ريال",40 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الخليج/شارع-الجبيل-حي-الخليج-الرياض-الرياض-3734812,غرب,,
334,334,محل للإيجار في شارع الصحابة ، حي اشبيلية ، الرياض ، الرياض,"100,000 ريال",114 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الصحابة-حي-اشبيلية-الرياض-الرياض-3684275,شمال,40 م, 5 سنة
335,335,محل للإيجار في شارع المصانع ، حي الحمراء ، الرياض ، الرياض,"250,000 ريال",300 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الحمراء/شارع-المصانع-حي-الحمراء-الرياض-الرياض-3424742,شمال غربي,40 م,جديد
336,336,محل للإيجار في الرياض ، حي الفيحاء ، الرياض,"15,000 ريال",30 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الفيحاء/الرياض-حي-الفيحاء-الرياض-3639225,جنوب,,
337,337,محل للإيجار في الطريق الدائري الشرقي الفرعي ، حي القدس ، الرياض ، الرياض,"190,000 ريال",254 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-القدس/الطريق-الدائري-الشرقي-الفرعي-حي-القدس-الرياض-الرياض-3686615,غرب,100 م,جديد
338,338,محل للإيجار في شارع سعيد الحاجب ، حي الرمال ، الرياض ، الرياض,"25,000 ريال",40 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الرمال/شارع-سعيد-الحاجب-حي-الرمال-الرياض-الرياض-3684067,شرق,30 م, 4 سنة
339,339,محل للإيجار في شارع المصانع ، حي الحمراء ، الرياض ، الرياض,"300,000 ريال",400 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الحمراء/شارع-المصانع-حي-الحمراء-الرياض-الرياض-3379525,شمال شرقي,40 م,جديد
340,340,محل للإيجار في شارع الصحابة ، حي اليرموك ، الرياض ، الرياض,"30,000 ريال",60 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/شارع-الصحابة-حي-اليرموك-الرياض-الرياض-3645191,غرب,60 م, 5 سنة
341,341,محل للإيجار في شارع رقم 275 ، حي المونسية ، الرياض ، الرياض,"26,000 ريال",60 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-275-حي-المونسية-الرياض-الرياض-3667636,شرق,,
342,342,محل للإيجار في شارع حفصة بنت عمر ، حي الاندلس ، الرياض ، الرياض,"460,800 ريال",768 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الاندلس/شارع-حفصة-بنت-عمر-حي-الاندلس-الرياض-الرياض-3509332,شمال,,
343,343,محل للإيجار في حي ، شارع عبدالله بن سليم ، حي النسيم الشرقي ، الرياض ، الرياض,"80,000 ريال",700 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الشرقي/حي-شارع-عبدالله-بن-سليم-حي-النسيم-الشرقي-الرياض-الرياض-3707740,جنوب,30 م, 13 سنة
