,shoptitle,prices,areaa,links,front,street_width,age
19,محل للإيجار في شارع خلف بن سعد ، حي العمل ، الرياض ، الرياض,"45,000 ريال",19 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العمل/شارع-خلف-بن-سعد-حي-العمل-الرياض-الرياض-2840723,غرب,20 م, 30 سنة
20,محل للإيجار في شارع خلف بن سعد ، حي العمل ، الرياض ، الرياض,"45,000 ريال",19 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العمل/شارع-خلف-بن-سعد-حي-العمل-الرياض-الرياض-2840723,غرب,20 م, 30 سنة
21,محل للإيجار في شارع عبدالعزيز الثميري ، حي الفوطة ، الرياض,"16,000 ريال",54 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفوطة/شارع-عبدالعزيز-الثميري-حي-الفوطة-الرياض-1241194,شمال,5 م, 25 سنة
22,محل للإيجار في الرياض ، حي الزهراء ، الرياض,"300,000 ريال",300 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الزهراء/الرياض-حي-الزهراء-الرياض-3209476,جنوب شرقي,,
23,محل للإيجار في شارع تهامة ، حي الضباط ، الرياض ، الرياض,"80,000 ريال",120 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الضباط/شارع-تهامة-حي-الضباط-الرياض-الرياض-2695630,شرق,30 م, 10 سنة
24,محل للإيجار في شارع عبدالحكيم الجمحي ، حي العمل ، الرياض ، الرياض,"30,000 ريال",50 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العمل/شارع-عبدالحكيم-الجمحي-حي-العمل-الرياض-الرياض-2794888,غرب,10 م, 13 سنة
25,محل للإيجار في طريق صلاح الدين الأيوبي الفرعي ، حي جرير ، الرياض ، الرياض,"40,000 ريال",120 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جرير/طريق-صلاح-الدين-الأيوبي-الفرعي-حي-جرير-الرياض-الرياض-2828286,جنوب,60 م, 30 سنة
26,محل للإيجار في طريق صلاح الدين الأيوبي الفرعي ، حي جرير ، الرياض ، الرياض,"14,000 ريال",40 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جرير/طريق-صلاح-الدين-الأيوبي-الفرعي-حي-جرير-الرياض-الرياض-2828192,جنوب,60 م, 30 سنة
27,محل للإيجار في شارع قتيبة بن مسلم ، حي اليمامة ، الرياض ، الرياض,"15,000 ريال",70 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-اليمامة/شارع-قتيبة-بن-مسلم-حي-اليمامة-الرياض-الرياض-2119252,غرب,20 م, 5 سنة
28,محل للإيجار في حي الفوطة ، الرياض ، الرياض,"35,000 ريال",150 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفوطة/حي-الفوطة-الرياض-الرياض-1424017,شمال شرقي,32 م, 20 سنة
29,محل للإيجار في شارع العرفي ، حي الشميسي ، الرياض,"12,000 ريال",50 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الشميسي/شارع-العرفي-حي-الشميسي-الرياض-1512041,شمال,30 م, 20 سنة
30,محل للإيجار في شارع السبالة ، حي الشميسي ، الرياض,"20,000 ريال",60 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الشميسي/شارع-السبالة-حي-الشميسي-الرياض-926609,شمال,40 م, 17 سنة
31,محل للإيجار في طريق عمر بن عبدالعزيز ، حي الربوة ، الرياض ، الرياض,"50,000 ريال",60 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الربوة/طريق-عمر-بن-عبدالعزيز-حي-الربوة-الرياض-الرياض-3188420,جنوب,60 م, 20 سنة
