,Unnamed: 0,Unnamed: 0.1,shoptitle,prices,areaa,links,front,street_width,age
250,250,250,محل للإيجار في حي ، شارع الشيخ عبدالله بن جبرين ، حي القيروان ، الرياض ، الرياض,"27,000 ريال",50 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-القيروان/حي-شارع-الشيخ-عبدالله-بن-جبرين-حي-القيروان-الرياض-الرياض-3743269,جنوب,,
251,251,251,محل للإيجار في شارع التخصصي ، حي العليا ، الرياض ، الرياض,"150,000 ريال",180 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/شارع-التخصصي-حي-العليا-الرياض-الرياض-3602628,غرب,15 م, 10 سنة
252,252,252,محل للإيجار في شارع العليا ، حي العليا ، الرياض ، الرياض,"250,000 ريال",300 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/شارع-العليا-حي-العليا-الرياض-الرياض-3615388,3 شوارع,15 م, 15 سنة
253,253,253,محل للإيجار في طريق الأمير محمد بن عبدالعزيز ، حي السليمانية ، الرياض ، الرياض,"176,000 ريال",120 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-السليمانية/طريق-الأمير-محمد-بن-عبدالعزيز-حي-السليمانية-الرياض-الرياض-3620534,جنوب,47 م, 30 سنة
254,254,254,محل للإيجار في طريق الملك فهد الفرعي ، حي الرحمانية ، الرياض ، الرياض,"324,000 ريال",180 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الرحمانية/طريق-الملك-فهد-الفرعي-حي-الرحمانية-الرياض-الرياض-3738300,شرق,,
255,255,255,محل للإيجار في حي ، شارع ربيعه بن عامر بن بجاد ، حي العارض ، الرياض ، الرياض,"25,000 ريال",45 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-شارع-ربيعه-بن-عامر-بن-بجاد-حي-العارض-الرياض-الرياض-3679263,جنوب,36 م, 6 سنة
256,256,256,محل للإيجار في حي العقيق ، الرياض ، الرياض,"331,200 ريال",207 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العقيق/حي-العقيق-الرياض-الرياض-3715037,غرب,,
257,257,257,محل للإيجار في شارع اللؤلؤه ، حي العارض ، الرياض ، الرياض,"27,000 ريال",48 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/شارع-اللؤلؤه-حي-العارض-الرياض-الرياض-3701391,شمال,36 م, 3 سنة
258,258,258,محل للإيجار في حي ، طريق الملك فهد ، حي العارض ، الرياض ، الرياض,"470,000 ريال",320 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-طريق-الملك-فهد-حي-العارض-الرياض-الرياض-3290110,3 شوارع,,
259,259,259,محل للإيجار في حي ، شارع عبدالله بن العاص ، حي العارض ، الرياض ، الرياض,"25,000 ريال",50 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-شارع-عبدالله-بن-العاص-حي-العارض-الرياض-الرياض-3233436,شمال,35 م,جديد
